"年度","月份","陽明山遊客中心","陽明書屋","陽明公園","大屯遊憩區","龍鳳谷遊憩區","小油坑遊憩區","冷水坑","擎天崗","國立故宮博物院","臺北市立美術館","國民革命忠烈祠","國立歷史博物館","國立臺灣科學教育館","國立臺灣藝術教育館","臺北市立動物園","臺北市立天文科學教育館","國立國父紀念館","士林官邸公園","臺北自來水園區","國立中正紀念堂","台北探索館","關渡自然公園","台北當代藝術館","美麗華摩天輪","台北101","北投溫泉博物館","臺北市孔廟","凱達格蘭文化館","臺北市立兒童新樂園","台北植物園","華山1914文化創意產業園區","國立臺灣博物館","松山文創園區","白石湖吊橋"
"Year","Month","Yangmingshan Visitor Center","Yangmingshuwu","Yangming Park","Datun Recreation Area","Longfonggu Recreation Area","Xiaoyoukeng Recration Area","Lengshuikeng","Qingtiangang","National Palace Museum","Taipei Fine Arts Museum","National Revolutionary Martyrs’ Shrine","National Museum of History","National Taiwan Science Education Center","National Taiwan Arts Education Center","Taipei Zoo","Taipei Astronomical Museum","National Dr. Sun Yat-sen Memorial Hall","Chiang Kai-shek Shilin Residence Park","Taipei Water Park","National Chiang Kai-shek Memorial Hall","Discovery Center of Taipei","Guandu Nature Park","Museum of Contemporary Art ,Taipei","Miramar Ferris Wheel","Taipei 101","Beitou Hot Spring Museum","Taipei Confucius Temple","Ketagalan Culture Center","Taipei Children’s Amusement Park","Taipei Botanical Garden","Huashan 1914 Creative Park","National Taiwan Museum","Songshan Cultural and Creative Park","Baishihu Suspension Bridge"
"104(2015)","10","10575","3426","8700","52824","21715","34418","0","0","486151","52623","161528","12992","121870","46089","334176","44757","534611","121610","97896","596648","33594","23295","15062","27520","261463","56993","39677","52603","0","0","0","0","0","0"
"104(2015)","11","11370","3529","13040","69359","23252","32568","0","0","455457","49804","163462","14357","112112","33734","360836","39778","493676","540820","73450","536294","39119","14449","17324","24709","263196","51555","38092","40686","0","0","0","0","0","0"
"104(2015)","12","8977","2448","19350","41803","21160","20433","0","0","428983","51150","162237","10972","227705","42569","258103","41784","618519","113750","82820","553473","38794","11359","18983","30626","247747","28510","36750","42348","0","0","0","0","0","0"
"105(2016)","1","12349","2846","26250","46979","25045","23180","0","0","447514","45301","129154","31337","396445","19560","231720","28075","549706","170784","63087","600493","27213","8099","13385","27626","211159","48000","44850","40746","0","0","0","0","0","0"
"105(2016)","2","7941","3915","663367","67055","35712","37529","0","0","466023","45712","126586","25507","461999","33048","401490","28519","471459","342850","100736","699497","10264","6556","13400","31290","248568","36411","46852","39004","0","0","0","0","0","0"
"105(2016)","3","10391","2524","691332","39456","75162","22513","0","0","462046","51530","149169","24986","144773","38076","212224","40994","533330","94350","80102","648097","19596","9013","34345","20154","262240","35908","44935","29662","0","0","0","0","0","0"
"105(2016)","4","11667","3145","25200","78602","108251","30685","0","0","438172","89617","135099","25736","165456","43729","323488","44502","525131","108055","103492","604085","22922","13059","72788","19860","244584","35548","43850","29004","0","0","0","0","0","0"
"105(2016)","5","12854","3615","30750","81236","16529","32214","0","0","423639","66482","137916","15524","194883","39019","230546","34482","515992","30750","116381","540800","20259","11545","36921","21989","236487","33073","39720","33325","0","0","0","0","0","0"
"105(2016)","6","12468","2574","24750","99711","12384","29445","0","0","356769","58703","128630","14263","220186","30978","187452","27234","510542","87740","131813","511811","16434","7943","13528","23321","195902","25054","36700","30867","0","0","0","0","0","0"
"105(2016)","7","11457","2766","15400","109117","12809","35912","0","0","411514","68457","131095","25831","328346","38298","223921","42535","543584","108775","154447","595274","20835","8995","9645","41367","217606","32714","32460","40281","0","0","0","0","0","0"
"105(2016)","8","9562","2830","9540","85946","14441","26917","0","0","402433","60446","156675","28868","377741","40945","262136","46594","536210","102610","130277","610035","17698","7835","5550","33806","210655","33584","31235","45787","0","0","0","0","0","0"
